scheme_code,fund_name,latest_nav,amfi_category,category,risk
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,392.6952,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2810.6567,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.8693,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
121279,Bandhan Banking and PSU Fund - Direct Growth,26.2114,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.5312,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,25.5568,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,26.3136,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,24.4602,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,24.7321,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
151107,HSBC Banking and PSU Debt Fund - Direct Growth,26.4127,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,35.3503,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,2502.3385,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,13.8572,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
123693,Kotak Banking and PSU Debt Direct - Growth,70.6551,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,38.7854,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,13.6473,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,22.1941,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,22.1937,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,3419.4673,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,11.7065,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,45.1203,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt,Low
